position,coverage
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,3
85,3
86,3
87,3
88,3
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,5
139,5
140,6
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,6
149,6
150,6
151,6
152,6
153,6
154,6
155,6
156,6
157,6
158,6
159,6
160,6
161,6
162,6
163,6
164,6
165,6
166,6
167,6
168,6
169,6
170,6
171,6
172,6
173,6
174,6
175,6
176,6
177,6
178,6
179,6
180,6
181,6
182,6
183,6
184,6
185,6
186,6
187,6
188,6
189,6
190,6
191,6
192,6
193,6
194,6
195,6
196,6
197,6
198,6
199,6
200,6
201,6
202,6
203,6
204,6
205,6
206,6
207,6
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,6
221,6
222,6
223,6
224,6
225,6
226,6
227,6
228,6
229,6
230,6
231,6
232,6
233,6
234,6
235,6
236,6
237,6
238,6
239,6
240,6
241,6
242,6
243,6
244,6
245,6
246,6
247,6
248,6
249,6
250,6
251,6
252,6
253,6
254,6
255,6
256,6
257,6
258,6
259,6
260,6
261,6
262,6
263,6
264,6
265,6
266,6
267,6
268,6
269,6
270,6
271,6
272,6
273,6
274,6
275,6
276,6
277,6
278,6
279,6
280,6
281,6
282,6
283,6
284,6
285,6
286,6
287,6
288,6
289,6
290,6
291,6
292,6
293,6
294,6
295,6
296,6
297,6
298,6
299,6
300,6
301,6
302,6
303,6
304,6
305,6
306,6
307,6
308,6
309,6
310,6
311,6
312,6
313,6
314,6
315,6
316,6
317,6
318,6
319,6
320,6
321,6
322,6
323,6
324,6
325,6
326,7
327,7
328,7
329,7
330,8
331,8
332,8
333,8
334,9
335,10
336,10
337,11
338,13
339,13
340,13
341,13
342,14
343,14
344,14
345,14
346,14
347,14
348,14
349,15
350,15
351,15
352,15
353,15
354,15
355,14
356,14
357,14
358,15
359,15
360,15
361,15
362,16
363,18
364,18
365,18
366,18
367,18
368,18
369,18
370,19
371,19
372,19
373,19
374,19
375,19
376,19
377,19
378,19
379,19
380,20
381,21
382,21
383,22
384,22
385,22
386,22
387,22
388,22
389,23
390,23
391,23
392,23
393,23
394,23
395,23
396,22
397,21
398,21
399,21
400,21
401,21
402,21
403,21
404,21
405,21
406,21
407,22
408,22
409,22
410,22
411,20
412,20
413,21
414,21
415,21
416,22
417,22
418,22
419,23
420,23
421,23
422,23
423,23
424,23
425,23
426,23
427,23
428,23
429,23
430,23
431,23
432,23
433,23
434,23
435,23
436,23
437,23
438,23
439,23
440,23
441,23
442,23
443,23
444,23
445,23
446,23
447,23
448,23
449,23
450,23
451,23
452,23
453,23
454,23
455,23
456,23
457,23
458,23
459,23
460,23
461,24
462,24
463,24
464,24
465,24
466,24
467,24
468,24
469,24
470,24
471,24
472,24
473,24
474,24
475,24
476,24
477,24
478,24
479,24
480,24
481,24
482,24
483,24
484,24
485,24
486,24
487,24
488,24
489,24
490,24
491,24
492,24
493,24
494,24
495,24
496,24
497,24
498,24
499,24
500,24
501,24
502,24
503,24
504,24
505,24
506,24
507,24
508,24
509,24
510,24
511,24
512,24
513,24
514,24
515,24
516,24
517,24
518,24
519,24
520,24
521,24
522,24
523,24
524,24
525,24
526,24
527,24
528,24
529,24
530,24
531,24
