position,coverage
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,2
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,3
325,3
326,3
327,4
328,7
329,8
330,8
331,8
332,9
333,9
334,11
335,12
336,12
337,13
338,13
339,13
340,14
341,15
342,16
343,16
344,16
345,16
346,16
347,17
348,17
349,18
350,20
351,20
352,20
353,20
354,21
355,21
356,21
357,21
358,21
359,21
360,21
361,22
362,23
363,23
364,23
365,23
366,23
367,23
368,23
369,23
370,23
371,23
372,24
373,24
374,24
375,25
376,25
377,25
378,25
379,25
380,25
381,26
382,26
383,26
384,26
385,27
386,27
387,27
388,27
389,27
390,28
391,28
392,28
393,28
394,28
395,28
396,28
397,28
398,28
399,29
400,29
401,30
402,30
403,30
404,30
405,32
406,32
407,32
408,32
409,32
410,31
411,32
412,32
413,32
414,32
415,32
416,32
417,32
418,32
419,33
420,33
421,33
422,34
423,34
424,34
425,34
426,34
427,34
428,34
429,34
430,34
431,34
432,34
433,34
434,34
435,34
436,34
437,35
438,35
439,35
440,36
441,36
442,36
443,36
444,36
445,36
446,36
447,36
448,36
449,36
450,36
451,36
452,36
453,36
454,36
455,36
456,36
457,36
458,36
459,36
460,36
461,36
462,36
463,36
464,36
465,36
466,36
467,36
468,36
469,36
470,36
471,36
472,36
473,36
474,36
475,36
476,36
477,36
478,36
479,36
480,36
481,36
482,36
483,36
484,36
485,36
486,36
487,36
488,36
489,36
490,36
491,36
492,36
493,36
494,36
495,36
496,36
497,36
498,36
499,36
500,36
501,36
502,36
503,36
504,36
505,36
506,36
507,36
508,36
509,36
510,36
511,36
512,36
513,36
514,36
515,36
516,36
517,36
518,36
519,36
520,36
521,36
522,36
523,36
524,36
525,36
526,36
527,36
528,36
529,36
530,36
531,36
