position,coverage
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,2
26,4
27,4
28,7
29,8
30,9
31,11
32,11
33,16
34,21
35,24
36,24
37,25
38,27
39,27
40,30
41,34
42,38
43,39
44,40
45,40
46,44
47,44
48,47
49,53
50,55
51,58
52,59
53,59
54,61
55,61
56,62
57,62
58,63
59,64
60,67
61,67
62,68
63,74
64,75
65,77
66,78
67,81
68,86
69,89
70,92
71,93
72,96
73,97
74,100
75,101
76,104
77,104
78,106
79,107
80,108
81,109
82,110
83,111
84,116
85,116
86,117
87,118
88,120
89,121
90,122
91,123
92,126
93,126
94,127
95,129
96,129
97,132
98,133
99,134
100,138
101,138
102,138
103,138
104,141
105,141
106,142
107,145
108,145
109,146
110,147
111,148
112,149
113,149
114,150
115,153
116,154
117,154
118,154
119,154
120,154
121,155
122,155
123,156
124,157
125,157
126,158
127,158
128,160
129,162
130,162
131,162
132,162
133,164
134,166
135,170
136,170
137,170
138,171
139,172
140,172
141,173
142,174
143,175
144,175
145,177
146,177
147,177
148,177
149,177
150,178
151,179
152,180
153,181
154,182
155,183
156,184
157,184
158,184
159,184
160,184
161,185
162,186
163,186
164,186
165,186
166,186
167,186
168,187
169,187
170,187
171,187
172,187
173,187
174,187
175,187
176,187
177,187
178,187
179,187
180,187
181,187
182,187
183,187
184,187
185,187
186,187
187,187
188,187
189,187
190,187
191,187
192,187
193,187
194,187
195,187
196,187
197,187
198,187
199,187
200,187
201,187
202,187
203,187
204,187
205,187
206,187
207,187
208,187
209,187
210,187
211,187
212,187
213,187
214,187
215,187
216,187
217,187
218,187
219,187
220,187
221,187
222,187
223,187
224,187
225,187
226,187
227,187
228,187
229,187
230,187
231,187
232,187
233,187
234,187
235,187
236,187
237,187
238,187
239,187
240,187
241,187
242,187
243,187
244,187
245,187
246,187
247,187
248,187
249,187
250,187
251,187
252,187
253,187
254,187
255,187
256,187
257,187
258,187
259,187
260,187
261,187
262,187
263,187
264,187
265,187
266,187
267,187
268,187
269,187
270,187
271,187
272,187
273,187
274,187
275,187
276,187
277,187
278,187
279,187
280,186
281,185
282,185
283,185
284,185
285,184
286,184
287,184
288,184
289,184
290,184
291,184
292,184
293,184
294,183
295,183
296,183
297,183
298,182
299,182
300,182
301,182
302,181
303,181
304,181
305,178
306,178
307,178
308,178
309,178
310,178
311,178
312,178
313,177
314,177
315,177
316,177
317,177
318,177
319,176
320,176
321,175
322,175
323,174
324,182
325,186
326,196
327,203
328,211
329,221
330,231
331,239
332,248
333,251
334,258
335,271
336,273
337,278
338,281
339,290
340,292
341,299
342,302
343,305
344,310
345,317
346,326
347,331
348,336
349,339
350,345
351,352
352,358
353,363
354,370
355,375
356,380
357,387
358,396
359,399
360,402
361,403
362,408
363,424
364,431
365,440
366,445
367,449
368,452
369,460
370,467
371,474
372,475
373,477
374,481
375,481
376,481
377,482
378,491
379,497
380,503
381,510
382,514
383,520
384,522
385,529
386,531
387,545
388,550
389,558
390,558
391,556
392,559
393,562
394,564
395,568
396,575
397,582
398,580
399,583
400,586
401,590
402,595
403,597
404,594
405,595
406,593
407,598
408,603
409,606
410,612
411,617
412,620
413,620
414,621
415,624
416,625
417,625
418,623
419,622
420,623
421,620
422,623
423,624
424,621
425,626
426,625
427,626
428,623
429,627
430,626
431,628
432,629
433,630
434,635
435,641
436,643
437,646
438,650
439,651
440,653
441,657
442,657
443,658
444,660
445,662
446,664
447,667
448,670
449,671
450,672
451,672
452,675
453,676
454,678
455,681
456,683
457,685
458,685
459,685
460,685
461,685
462,685
463,686
464,687
465,687
466,687
467,687
468,687
469,687
470,687
471,687
472,688
473,688
474,688
475,688
476,688
477,688
478,688
479,688
480,688
481,688
482,688
483,688
484,688
485,688
486,688
487,688
488,688
489,688
490,688
491,688
492,688
493,688
494,688
495,688
496,688
497,688
498,688
499,688
500,688
501,688
502,688
503,688
504,688
505,688
506,688
507,688
508,688
509,688
510,688
511,688
512,688
513,688
514,688
515,688
516,688
517,688
518,688
519,688
520,688
521,688
522,688
523,688
524,688
525,688
526,688
527,688
528,688
529,688
530,688
531,688
