position,coverage
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,4
28,6
29,10
30,10
31,13
32,14
33,15
34,17
35,20
36,21
37,22
38,23
39,25
40,25
41,25
42,25
43,27
44,28
45,28
46,28
47,28
48,29
49,34
50,34
51,35
52,35
53,35
54,35
55,37
56,37
57,39
58,41
59,43
60,48
61,50
62,51
63,55
64,55
65,57
66,57
67,58
68,58
69,58
70,60
71,62
72,62
73,62
74,65
75,67
76,68
77,69
78,70
79,72
80,73
81,74
82,75
83,75
84,75
85,78
86,78
87,78
88,79
89,79
90,79
91,80
92,81
93,83
94,83
95,86
96,87
97,87
98,89
99,91
100,91
101,91
102,91
103,91
104,91
105,92
106,92
107,92
108,92
109,93
110,94
111,94
112,94
113,94
114,95
115,100
116,101
117,101
118,101
119,103
120,104
121,105
122,108
123,109
124,109
125,110
126,111
127,111
128,111
129,112
130,112
131,114
132,116
133,116
134,116
135,116
136,117
137,117
138,118
139,120
140,124
141,125
142,125
143,125
144,125
145,126
146,126
147,126
148,126
149,128
150,129
151,129
152,130
153,130
154,130
155,130
156,131
157,132
158,133
159,133
160,133
161,135
162,135
163,135
164,137
165,137
166,137
167,137
168,138
169,138
170,138
171,138
172,138
173,138
174,138
175,138
176,139
177,141
178,138
179,137
180,135
181,136
182,135
183,136
184,137
185,138
186,137
187,137
188,136
189,136
190,134
191,134
192,134
193,135
194,135
195,134
196,134
197,135
198,135
199,133
200,131
201,131
202,130
203,130
204,130
205,130
206,131
207,131
208,130
209,128
210,128
211,127
212,126
213,127
214,124
215,124
216,123
217,123
218,122
219,124
220,124
221,122
222,124
223,124
224,124
225,123
226,123
227,123
228,123
229,123
230,123
231,123
232,122
233,123
234,126
235,126
236,126
237,124
238,124
239,126
240,126
241,127
242,125
243,128
244,129
245,129
246,129
247,129
248,131
249,131
250,129
251,129
252,129
253,129
254,130
255,129
256,128
257,129
258,129
259,130
260,129
261,130
262,130
263,130
264,131
265,131
266,130
267,129
268,129
269,130
270,129
271,130
272,130
273,129
274,131
275,133
276,136
277,135
278,135
279,136
280,135
281,135
282,135
283,135
284,133
285,132
286,131
287,131
288,131
289,130
290,128
291,128
292,128
293,128
294,128
295,127
296,126
297,126
298,126
299,123
300,123
301,123
302,123
303,122
304,122
305,122
306,121
307,120
308,119
309,118
310,118
311,118
312,117
313,116
314,115
315,113
316,113
317,113
318,112
319,112
320,112
321,111
322,110
323,110
324,127
325,145
326,149
327,161
328,165
329,174
330,189
331,206
332,220
333,232
334,240
335,252
336,263
337,273
338,280
339,295
340,301
341,313
342,318
343,333
344,340
345,344
346,350
347,360
348,368
349,381
350,392
351,401
352,409
353,419
354,426
355,435
356,440
357,443
358,446
359,453
360,468
361,481
362,494
363,501
364,507
365,518
366,523
367,532
368,543
369,551
370,560
371,566
372,577
373,580
374,588
375,597
376,604
377,608
378,617
379,623
380,628
381,634
382,642
383,651
384,651
385,658
386,665
387,676
388,681
389,691
390,696
391,700
392,717
393,721
394,731
395,734
396,745
397,747
398,758
399,759
400,764
401,773
402,785
403,794
404,800
405,806
406,811
407,813
408,819
409,823
410,827
411,835
412,839
413,847
414,857
415,859
416,859
417,867
418,874
419,880
420,882
421,881
422,885
423,888
424,892
425,891
426,894
427,894
428,898
429,904
430,906
431,913
432,919
433,925
434,932
435,941
436,948
437,955
438,961
439,968
440,976
441,979
442,981
443,988
444,993
445,997
446,1001
447,1006
448,1011
449,1017
450,1023
451,1026
452,1032
453,1038
454,1040
455,1044
456,1048
457,1052
458,1057
459,1061
460,1064
461,1067
462,1068
463,1071
464,1074
465,1079
466,1082
467,1085
468,1088
469,1097
470,1102
471,1110
472,1112
473,1116
474,1118
475,1112
476,1106
477,1108
478,1110
479,1111
480,1111
481,1109
482,1106
483,1103
484,1098
485,1097
486,1094
487,1096
488,1095
489,1093
490,1088
491,1088
492,1084
493,1087
494,1081
495,1084
496,1087
497,1088
498,1091
499,1090
500,1093
501,1093
502,1093
503,1091
504,1091
505,1093
506,1098
507,1097
508,1093
509,1095
510,1093
511,1084
512,1079
513,1077
514,1080
