position,coverage
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,6
89,6
90,6
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,6
110,6
111,6
112,6
113,6
114,6
115,6
116,6
117,6
118,6
119,6
120,6
121,6
122,6
123,6
124,6
125,6
126,6
127,6
128,6
129,6
130,6
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,6
139,6
140,6
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,6
149,6
150,6
151,6
152,6
153,6
154,6
155,6
156,6
157,6
158,6
159,6
160,6
161,6
162,6
163,6
164,6
165,6
166,6
167,6
168,6
169,7
170,7
171,7
172,7
173,7
174,7
175,7
176,7
177,7
178,7
179,7
180,7
181,7
182,7
183,6
184,6
185,6
186,6
187,6
188,6
189,6
190,6
191,6
192,8
193,7
194,7
195,7
196,7
197,7
198,7
199,7
200,7
201,7
202,7
203,6
204,6
205,6
206,6
207,6
208,6
209,6
210,7
211,7
212,7
213,7
214,7
215,7
216,7
217,7
218,7
219,7
220,7
221,7
222,7
223,7
224,7
225,7
226,7
227,8
228,8
229,7
230,7
231,7
232,8
233,8
234,8
235,8
236,8
237,8
238,8
239,8
240,9
241,9
242,9
243,9
244,9
245,9
246,9
247,9
248,9
249,9
250,9
251,9
252,9
253,9
254,9
255,9
256,9
257,9
258,9
259,9
260,9
261,9
262,9
263,9
264,9
265,9
266,9
267,9
268,9
269,9
270,10
271,10
272,10
273,10
274,10
275,10
276,11
277,11
278,11
279,11
280,11
281,11
282,11
283,11
284,11
285,11
286,11
287,11
288,11
289,11
290,11
291,11
292,11
293,11
294,11
295,11
296,11
297,11
298,11
299,11
300,11
301,11
302,11
303,11
304,11
305,11
306,11
307,11
308,11
309,11
310,11
311,11
312,11
313,11
314,11
315,11
316,11
317,11
318,11
319,11
320,11
321,11
322,11
323,11
324,11
325,12
326,13
327,13
328,15
329,16
330,16
331,17
332,17
333,19
334,22
335,22
336,22
337,22
338,22
339,22
340,22
341,23
342,23
343,22
344,24
345,24
346,24
347,24
348,26
349,27
350,29
351,29
352,29
353,31
354,32
355,32
356,33
357,34
358,34
359,35
360,35
361,37
362,38
363,39
364,39
365,39
366,39
367,39
368,40
369,42
370,42
371,44
372,45
373,45
374,45
375,46
376,47
377,48
378,48
379,48
380,48
381,47
382,48
383,49
384,49
385,49
386,49
387,49
388,49
389,49
390,49
391,48
392,48
393,48
394,48
395,48
396,48
397,48
398,48
399,48
400,49
401,48
402,48
403,48
404,49
405,49
406,49
407,49
408,49
409,51
410,51
411,51
412,52
413,52
414,52
415,51
416,51
417,52
418,53
419,53
420,53
421,52
422,53
423,53
424,52
425,52
426,53
427,52
428,52
429,52
430,52
431,52
432,53
433,53
434,53
435,53
436,53
437,54
438,55
439,56
440,56
441,56
442,56
443,56
444,56
445,57
446,57
447,58
448,58
449,58
450,58
451,58
452,58
453,60
454,60
455,60
456,61
457,61
458,62
459,62
460,62
461,62
462,62
463,64
464,65
465,65
466,65
467,65
468,65
469,65
470,65
471,65
472,66
473,66
474,67
475,67
476,67
477,67
478,67
479,67
480,66
481,67
482,67
483,67
484,67
485,66
486,66
487,66
488,66
489,67
490,67
491,67
492,66
493,67
494,67
495,67
496,67
497,67
498,68
499,66
500,66
501,65
502,65
503,65
504,65
505,65
506,66
507,66
508,66
509,66
510,66
511,66
512,65
513,65
514,65
515,66
516,66
517,66
518,66
519,65
520,65
521,64
522,64
523,64
524,63
525,63
526,63
527,62
528,62
529,62
530,62
531,62
